source_url_processed,f0,fact,bias
villagevoice.com,2.9111234025210326e-05,2,5
insideclimatenews.org,9.405479632433856e-06,2,4
fury.news,1.8953964799833808e-07,0,0
now8news.com,8.089044198537502e-07,0,3
constitution.com,1.6306031601089244e-05,0,0
oceana.org,9.762574195563886e-06,2,3
haaretz.com,0.00015503875968992252,2,4
justsecurity.org,9.186701331153024e-06,2,3
freebeacon.com,5.4555373704309883e-05,1,1
brexitcentral.com,3.841293132920267e-06,1,1
foreignpolicynews.org,1.0913861258630137e-06,1,5
patriotpost.us,6.2484769337474e-06,1,1
congress.gov,8.103071063933231e-05,2,3
thetyee.ca,8.571404081702625e-06,2,4
loser.com,1.120467010650039e-06,0,6
queerty.com,6.717721348918447e-05,2,5
empiresports.co,3.729251841224865e-07,0,3
emirates247.com,1.6344943691668986e-05,2,4
samuel-warde.com,5.364029888374538e-06,1,5
trueactivist.com,5.076322508921637e-06,0,6
popularresistance.org,3.5930252194440154e-06,1,5
fivethirtyeight.com,0.0006506180871828237,2,4
leftvoice.org,2.9621993737910525e-06,2,5
thebeaverton.com,2.1289731962274594e-05,0,3
nationalreport.net,1.185443699722369e-06,0,3
itep.org,3.7884527958781633e-06,2,4
ajc.com,0.00015206812652068127,2,4
abc11.com,2.400614557326676e-05,2,4
politicalmayhem.news,1.6413784953155054e-07,0,0
itv.com-news,0.00025687130747495504,2,2
breitbart.com,0.0031446540880503146,1,1
thebulletin.org,1.1129041233097768e-05,2,3
forwardprogressives.com,2.7164316953250208e-06,2,5
triggerreset.net,6.0593626059525e-08,0,0
theatlantic.com,0.0014124293785310734,2,4
dcclothesline.com,8.117805594791615e-06,0,0
santafenewmexican.com,8.756567425569177e-06,2,4
liberaldarkness.com,1.4574981868722556e-07,0,3
leftoverrights.com,4.342201991420677e-07,1,5
cp24.com,6.74900452183303e-05,2,3
inthesetimes.com,1.1903628225883247e-05,2,5
tampabay.com,0.0001179106237471996,2,4
france24-tv.com,1.2496229262819945e-07,0,0
freewestmedia.com,1.513042425709617e-06,1,1
theguardiansofdemocracy.com,2.40728927191536e-06,2,5
darientimes.com,1.5053394389900978e-06,2,4
conservativeoutfitters.com-blogs-news,5.488808593717839e-07,1,1
republicworld.com,9.945300845350573e-05,1,4
timesheadline.com,4.878831773489501e-07,1,4
amazingnews.net,0.0,0,0
redstatedisaster.com,2.0855161735950293e-07,2,5
thestar.com,0.0003658982802780826,2,4
smh.com.au,0.0004849660523763337,2,4
aceflashman.wordpress.com,3.034460240832971e-07,0,3
hoax-slayer.com,3.505217516272973e-06,2,3
home.nra.org,4.0738175744490164e-05,1,1
americanbridgepac.org,8.758622864209816e-07,1,5
orlandosentinel.com,8.449514152936208e-05,2,2
voanews.com,0.0003561253561253561,2,3
dailyclimate.org,4.5752121411489535e-07,2,4
newsandstoriesfromusa.com,0.0,0,0
tbo.com,1.4820743112059638e-05,2,2
fraserinstitute.org,7.354184898916728e-06,2,2
thesmokinggun.com,1.898577965104137e-05,2,2
offendedamerica.com,1.3712096166769804e-07,1,1
calgarysun.com,1.4113927623779145e-05,2,2
southafricatoday.net,5.503274448296737e-06,0,1
capitolfax.com,9.189318336365809e-06,2,3
blackpigeonspeaks.com,1.4662971597824016e-06,0,0
churchmilitant.com,1.4784588544900797e-05,1,1
liberalamerica.org,4.166281285647744e-07,1,5
newscientist.com,0.00013422818791946307,2,3
nationinstitute.org,7.783876012195777e-07,2,4
theskimm.com,2.1941372652273127e-05,2,3
iowastartingline.com,3.6164011022790565e-06,2,5
deepleftfield.info,9.465322843231537e-07,1,5
burrardstreetjournal.com,7.438074312312841e-07,0,3
who.int-en,0.000547645125958379,2,3
kutv.com,2.324122062890743e-05,2,2
propublica.org,6.104633416763323e-05,2,4
yellowhammernews.com,4.116717165063892e-06,2,1
news.groopspeak.com,4.352310859450824e-06,1,5
fairvote.org,5.196046847558378e-06,2,4
intellectualtakeout.org,1.2924405154252775e-05,1,1
lawnewz.com,0.0,2,4
conservativefighters.com,3.8422967713180235e-06,0,0
oilprice.com,5.986231667165519e-05,2,2
the-american-interest.com,7.101112744367042e-06,2,2
