source_url_processed,f0,fact,bias
villagevoice.com,1,2,5
insideclimatenews.org,1,2,4
fury.news,1,0,0
now8news.com,0,0,3
constitution.com,1,0,0
oceana.org,1,2,3
haaretz.com,1,2,4
justsecurity.org,0,2,3
freebeacon.com,1,1,1
brexitcentral.com,1,1,1
foreignpolicynews.org,1,1,5
patriotpost.us,1,1,1
congress.gov,1,2,3
thetyee.ca,1,2,4
loser.com,0,0,6
queerty.com,1,2,5
empiresports.co,1,0,3
emirates247.com,1,2,4
samuel-warde.com,1,1,5
trueactivist.com,0,0,6
popularresistance.org,1,1,5
fivethirtyeight.com,1,2,4
leftvoice.org,0,2,5
thebeaverton.com,1,0,3
nationalreport.net,0,0,3
itep.org,0,2,4
ajc.com,1,2,4
abc11.com,1,2,4
politicalmayhem.news,0,0,0
itv.com-news,1,2,2
breitbart.com,0,1,1
thebulletin.org,1,2,3
forwardprogressives.com,1,2,5
triggerreset.net,1,0,0
theatlantic.com,1,2,4
dcclothesline.com,1,0,0
santafenewmexican.com,1,2,4
liberaldarkness.com,0,0,3
leftoverrights.com,1,1,5
cp24.com,1,2,3
inthesetimes.com,1,2,5
tampabay.com,1,2,4
france24-tv.com,1,0,0
freewestmedia.com,0,1,1
theguardiansofdemocracy.com,1,2,5
darientimes.com,1,2,4
conservativeoutfitters.com-blogs-news,1,1,1
republicworld.com,1,1,4
timesheadline.com,1,1,4
amazingnews.net,1,0,0
redstatedisaster.com,1,2,5
thestar.com,1,2,4
smh.com.au,1,2,4
aceflashman.wordpress.com,1,0,3
hoax-slayer.com,1,2,3
home.nra.org,1,1,1
americanbridgepac.org,1,1,5
orlandosentinel.com,1,2,2
voanews.com,0,2,3
dailyclimate.org,1,2,4
newsandstoriesfromusa.com,1,0,0
tbo.com,1,2,2
fraserinstitute.org,1,2,2
thesmokinggun.com,1,2,2
offendedamerica.com,1,1,1
calgarysun.com,1,2,2
southafricatoday.net,1,0,1
capitolfax.com,1,2,3
blackpigeonspeaks.com,0,0,0
churchmilitant.com,1,1,1
liberalamerica.org,1,1,5
newscientist.com,1,2,3
nationinstitute.org,0,2,4
theskimm.com,0,2,3
iowastartingline.com,0,2,5
deepleftfield.info,1,1,5
burrardstreetjournal.com,1,0,3
who.int-en,1,2,3
kutv.com,1,2,2
propublica.org,1,2,4
yellowhammernews.com,1,2,1
news.groopspeak.com,0,1,5
fairvote.org,1,2,4
intellectualtakeout.org,1,1,1
lawnewz.com,1,2,4
conservativefighters.com,0,0,0
oilprice.com,0,2,2
the-american-interest.com,1,2,2
illinoispolicy.org,1,2,1
washingtonpost.com,1,2,4
delawareonline.com,1,2,4
gawken.com,1,0,3
bigleaguepolitics.com,1,1,1
azcentral.com,1,2,2
leftsideofhistory.com,1,1,5
nationalobserver.com,1,2,4
reagancoalition.com,0,0,0
stratfor.com,1,2,3
monthlyreview.org,1,2,4
newswars.com,0,0,0
indystar.com,1,2,4
progressive.org,1,2,5
oathkeepers.org,1,0,0
realcleardefense.com,1,2,2
berkeleyside.com,1,2,4
anthropocenemagazine.org,0,2,3
atlbanana.com,1,0,3
theroot.com,1,2,5
salon.com,0,2,5
daltondailycitizen.com,1,2,2
ydr.com,1,2,4
bluestemprairie.com,0,2,4
wilsoncenter.org,1,2,3
brokenworldnews.com,0,0,3
atimes.com,1,2,3
patriotfires.com,1,0,0
airspacemag.com,1,2,3
allgov.com,0,2,3
thegoldwater.com,1,0,0
lynx.media,0,1,2
resistancereport.com,1,0,6
unicornriot.ninja,0,2,4
democraticreview.com,1,0,6
taskandpurpose.com,1,2,3
zdf.de,1,2,3
medicaldaily.com,1,2,3
americannewsx.com,1,1,5
ibtimes.com,1,1,4
gq.com,0,2,5
japantimes.co.jp,1,2,3
theguardian.com-us,1,2,4
chicksontheright.com,1,1,1
seeker.com,0,2,3
foreignpolicyjournal.com,1,2,5
quantamagazine.org,0,2,3
democratandchronicle.com,1,2,4
buzzfeed.com,1,1,4
harvardpolitics.com,1,2,3
newsuptoday.com,1,0,0
nrdc.org,1,2,4
sciencetrends.com,1,2,3
viralcords.com,1,0,3
africanews.com,1,2,3
climatecentral.org,1,2,3
siouxcityjournal.com,1,2,3
startribune.com,1,2,4
commentarymagazine.com,1,2,1
themaven.net-beingliberal,1,1,5
merionwest.com,1,2,3
cpj.org,1,2,3
adelaidenow.com.au,1,1,1
redpepper.org.uk,1,2,5
worldsocialism.org-spgb,1,2,5
examine.com,0,2,3
freespeech.org,1,2,5
epi.org,1,2,4
atlanticmedia.com,1,2,4
citizencritics.org,1,2,5
thestranger.com,1,2,4
bangkokpost.com,1,2,3
fpif.org,1,2,4
bigamericannews.com,0,0,3
psypost.org,0,2,3
tharawat-magazine.com-#gs.a9CcWpc,1,2,2
daily.jstor.org,1,2,3
beliefnet.com,0,1,1
outsidethebeltway.com,1,2,4
placesjournal.org,1,2,3
swarajyamag.com,1,2,2
politicalgarbagechute.com,0,0,3
rewire.news,0,2,5
defconwarningsystem.com,0,2,3
pnas.org,1,2,3
quillette.com,1,2,2
truthexaminer.com,1,0,6
aljazeera.com,1,2,4
milo.yiannopoulos.net,1,0,0
magicvalley.com,1,2,3
msn.com,1,2,4
nationmaster.com,1,2,3
mentaldaily.com,1,2,3
skeptic.com,1,2,3
panampost.com,1,2,4
marketwatch.com,0,2,3
novinite.com,1,2,3
liberationnews.org,1,2,5
abriluno.com,0,0,3
detroitnews.com,1,2,2
thechronicleherald.ca,1,1,2
pinknews.co.uk,1,2,5
theduran.com,1,0,0
teaparty.org,1,0,0
frc.org,1,0,0
stocksnewsdaily.com,0,1,4
theoutline.com,1,2,5
retractionwatch.com,1,2,3
