source_url_processed,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,fact,bias
villagevoice.com,0,20,3,2,1,0,0,0,0,1,0,0,2,5
insideclimatenews.org,1,21,2,1,1,0,0,0,0,1,0,0,2,4
fury.news,0,12,3,2,0,0,0,0,0,0,0,0,0,0
now8news.com,0,12,2,1,0,1,0,0,0,1,0,0,0,3
constitution.com,0,16,2,1,1,0,0,0,0,1,0,0,0,0
oceana.org,0,10,2,1,0,0,0,0,0,1,0,0,2,3
haaretz.com,0,15,3,2,0,0,0,0,0,1,0,0,2,4
justsecurity.org,1,20,3,2,1,0,0,0,0,1,0,0,2,3
freebeacon.com,0,14,2,1,1,0,0,0,0,1,0,0,1,1
brexitcentral.com,0,17,2,1,1,0,0,0,0,1,0,0,1,1
foreignpolicynews.org,0,21,2,1,1,0,0,0,0,1,0,0,1,5
patriotpost.us,1,12,2,1,1,0,0,0,0,0,0,0,1,1
congress.gov,1,16,3,2,0,0,0,0,0,0,0,1,2,3
thetyee.ca,1,8,2,1,0,0,0,0,0,0,0,0,2,4
loser.com,0,9,2,1,0,0,0,0,0,1,0,0,0,6
queerty.com,1,15,3,2,0,0,0,0,0,1,0,0,2,5
empiresports.co,0,19,3,2,1,0,0,0,0,0,0,0,0,3
emirates247.com,0,19,3,2,1,3,0,0,0,1,0,0,2,4
samuel-warde.com,0,15,2,1,1,0,1,0,0,1,0,0,1,5
trueactivist.com,0,20,3,2,1,0,0,0,0,1,0,0,0,6
popularresistance.org,1,20,2,1,1,0,0,0,0,1,0,0,1,5
fivethirtyeight.com,1,19,2,1,1,0,0,0,0,1,0,0,2,4
leftvoice.org,0,17,3,2,0,0,0,0,0,1,0,0,2,5
thebeaverton.com,1,20,3,2,1,0,0,0,0,1,0,0,0,3
nationalreport.net,0,17,2,1,1,0,0,0,0,0,0,0,0,3
itep.org,1,8,2,1,0,0,0,0,0,1,0,0,2,4
ajc.com,0,11,3,3,0,0,0,0,0,1,0,0,2,4
abc11.com,0,9,2,1,0,2,0,0,0,1,0,0,2,4
politicalmayhem.news,1,18,2,1,1,0,0,0,0,0,0,0,0,0
itv.com-news,0,15,3,2,0,0,0,0,0,0,0,0,2,2
breitbart.com,0,17,3,2,0,0,0,0,0,1,0,0,1,1
thebulletin.org,0,13,2,1,0,0,0,0,0,1,0,0,2,3
forwardprogressives.com,0,27,3,2,1,0,0,0,0,1,0,0,2,5
triggerreset.net,1,14,2,1,1,0,0,0,0,0,0,0,0,0
theatlantic.com,1,19,3,2,1,0,0,0,0,1,0,0,2,4
dcclothesline.com,0,21,3,2,1,0,0,0,0,1,0,0,0,0
santafenewmexican.com,0,25,3,2,1,0,0,0,0,1,0,0,2,4
liberaldarkness.com,0,19,2,1,1,0,0,0,0,1,0,0,0,3
leftoverrights.com,0,18,2,1,1,0,0,0,0,1,0,0,1,5
cp24.com,1,12,3,2,0,2,0,0,0,1,0,0,2,3
inthesetimes.com,0,16,2,1,1,0,0,0,0,1,0,0,2,5
tampabay.com,0,16,3,2,0,0,0,0,0,1,0,0,2,4
france24-tv.com,0,15,2,1,1,2,1,0,0,1,0,0,0,0
freewestmedia.com,0,17,2,1,1,0,0,0,0,1,0,0,1,1
theguardiansofdemocracy.com,1,25,2,1,1,0,0,0,0,1,0,0,2,5
darientimes.com,0,19,3,2,1,0,0,0,0,1,0,0,2,4
conservativeoutfitters.com-blogs-news,1,40,3,1,2,0,0,0,0,0,0,0,1,1
republicworld.com,0,21,3,2,1,0,0,0,0,1,0,0,1,4
timesheadline.com,0,21,3,2,1,0,0,0,0,1,0,0,1,4
amazingnews.net,0,18,3,2,1,0,0,0,0,0,0,0,0,0
redstatedisaster.com,1,20,2,1,1,0,0,0,0,1,0,0,2,5
thestar.com,1,15,3,2,0,0,0,0,0,1,0,0,2,4
smh.com.au,0,14,4,4,0,0,0,0,0,0,1,0,2,4
aceflashman.wordpress.com,1,25,3,1,1,0,0,0,1,1,0,0,0,3
hoax-slayer.com,0,19,3,2,1,0,1,0,0,1,0,0,2,3
home.nra.org,1,11,3,3,0,0,0,0,0,1,0,0,1,1
americanbridgepac.org,1,21,2,1,1,0,0,0,0,1,0,0,1,5
orlandosentinel.com,0,23,3,2,1,0,0,0,0,1,0,0,2,2
voanews.com,0,15,3,2,0,0,0,0,0,1,0,0,2,3
dailyclimate.org,0,20,3,2,1,0,0,0,0,1,0,0,2,4
newsandstoriesfromusa.com,1,25,2,1,1,0,0,0,0,1,0,0,0,0
tbo.com,0,11,3,3,0,0,0,0,0,1,0,0,2,2
fraserinstitute.org,1,23,3,2,1,0,0,0,0,1,0,0,2,2
thesmokinggun.com,0,21,3,2,1,0,0,0,0,1,0,0,2,2
offendedamerica.com,0,19,2,1,1,0,0,0,0,1,0,0,1,1
calgarysun.com,0,18,3,2,1,0,0,0,0,1,0,0,2,2
southafricatoday.net,1,18,2,1,1,0,0,0,0,0,0,0,0,1
capitolfax.com,1,14,2,1,1,0,0,0,0,1,0,0,2,3
blackpigeonspeaks.com,0,21,2,1,1,0,0,0,0,1,0,0,0,0
churchmilitant.com,1,22,3,2,1,0,0,0,0,1,0,0,1,1
liberalamerica.org,0,22,3,2,1,0,0,0,0,1,0,0,1,5
newscientist.com,1,20,3,2,1,0,0,0,0,1,0,0,2,3
nationinstitute.org,0,23,3,2,1,0,0,0,0,1,0,0,2,4
theskimm.com,0,16,3,2,0,0,0,0,0,1,0,0,2,3
iowastartingline.com,1,20,2,1,1,0,0,0,0,1,0,0,2,5
deepleftfield.info,0,18,2,0,1,0,0,0,0,0,0,0,1,5
burrardstreetjournal.com,0,28,3,2,1,0,0,0,0,1,0,0,0,3
who.int-en,0,14,3,2,0,0,0,0,0,0,0,0,2,3
kutv.com,0,8,2,1,0,0,0,0,0,1,0,0,2,2
propublica.org,1,18,3,2,1,0,0,0,0,1,0,0,2,4
yellowhammernews.com,0,20,2,1,1,0,0,0,0,1,0,0,2,1
news.groopspeak.com,0,19,3,1,1,0,0,0,0,1,0,0,1,5
fairvote.org,0,16,3,2,0,0,0,0,0,1,0,0,2,4
intellectualtakeout.org,0,27,3,2,1,0,0,0,0,1,0,0,1,1
lawnewz.com,0,11,2,1,0,0,0,0,0,1,0,0,2,4
conservativefighters.com,0,24,2,1,1,0,0,0,0,1,0,0,0,0
oilprice.com,0,12,2,1,0,0,0,0,0,1,0,0,2,2
the-american-interest.com,0,29,3,2,1,0,2,0,0,1,0,0,2,2
illinoispolicy.org,1,22,3,2,1,0,0,0,0,1,0,0,2,1
washingtonpost.com,1,22,3,2,1,0,0,0,0,1,0,0,2,4
delawareonline.com,0,22,3,2,1,0,0,0,0,1,0,0,2,4
gawken.com,1,10,2,1,0,0,0,0,0,1,0,0,0,3
bigleaguepolitics.com,0,21,2,1,1,0,0,0,0,1,0,0,1,1
azcentral.com,0,17,3,2,0,0,0,0,0,1,0,0,2,2
leftsideofhistory.com,0,25,3,2,1,0,0,0,0,1,0,0,1,5
nationalobserver.com,0,24,3,2,1,0,0,0,0,1,0,0,2,4
reagancoalition.com,0,19,2,1,1,0,0,0,0,1,0,0,0,0
stratfor.com,1,16,3,2,0,0,0,0,0,1,0,0,2,3
monthlyreview.org,0,17,2,1,1,0,0,0,0,1,0,0,2,4
newswars.com,1,12,2,1,0,0,0,0,0,1,0,0,0,0
indystar.com,0,16,3,2,0,0,0,0,0,1,0,0,2,4
progressive.org,0,19,3,2,1,0,0,0,0,1,0,0,2,5
oathkeepers.org,1,19,3,2,1,0,0,0,0,1,0,0,0,0
realcleardefense.com,0,24,3,2,1,0,0,0,0,1,0,0,2,2
berkeleyside.com,0,20,3,2,1,0,0,0,0,1,0,0,2,4
anthropocenemagazine.org,0,28,3,2,1,0,0,0,0,1,0,0,2,3
atlbanana.com,0,17,3,2,0,0,0,0,0,1,0,0,0,3
theroot.com,0,15,3,2,0,0,0,0,0,1,0,0,2,5
salon.com,0,13,3,2,0,0,0,0,0,1,0,0,2,5
daltondailycitizen.com,0,26,3,2,1,0,0,0,0,1,0,0,2,2
ydr.com,0,11,3,3,0,0,0,0,0,1,0,0,2,4
bluestemprairie.com,0,23,3,2,1,0,0,0,0,1,0,0,2,4
wilsoncenter.org,1,20,3,2,1,0,0,0,0,1,0,0,2,3
brokenworldnews.com,1,19,2,1,1,0,0,0,0,1,0,0,0,3
atimes.com,0,14,3,2,0,0,0,0,0,1,0,0,2,3
patriotfires.com,0,20,3,2,1,0,0,0,0,1,0,0,0,0
airspacemag.com,0,19,3,2,1,0,0,0,0,1,0,0,2,3
allgov.com,0,14,3,2,0,0,0,0,0,1,0,0,2,3
thegoldwater.com,0,20,3,2,1,0,0,0,0,1,0,0,0,0
lynx.media,1,10,2,0,0,0,0,0,0,0,0,0,1,2
resistancereport.com,0,20,2,1,1,0,0,0,0,1,0,0,0,6
unicornriot.ninja,0,21,3,1,1,0,0,0,0,0,0,0,2,4
democraticreview.com,0,20,2,1,1,0,0,0,0,1,0,0,0,6
taskandpurpose.com,0,17,2,1,1,0,0,0,0,1,0,0,2,3
zdf.de,1,10,3,3,0,0,0,0,0,0,0,0,2,3
medicaldaily.com,0,20,3,2,1,0,0,0,0,1,0,0,2,3
americannewsx.com,0,17,2,1,1,0,0,0,0,1,0,0,1,5
ibtimes.com,0,15,3,2,0,0,0,0,0,1,0,0,1,4
gq.com,0,10,3,3,0,0,0,0,0,1,0,0,2,5
japantimes.co.jp,1,19,4,3,1,0,0,0,0,0,0,0,2,3
theguardian.com-us,1,21,3,1,1,0,0,0,0,0,0,0,2,4
chicksontheright.com,0,24,3,2,1,0,0,0,0,1,0,0,1,1
seeker.com,0,14,3,2,0,0,0,0,0,1,0,0,2,3
foreignpolicyjournal.com,1,28,3,2,1,0,0,0,0,1,0,0,2,5
quantamagazine.org,1,22,3,2,1,0,0,0,0,1,0,0,2,3
democratandchronicle.com,0,28,3,2,1,0,0,0,0,1,0,0,2,4
buzzfeed.com,1,16,3,2,0,0,0,0,0,1,0,0,1,4
harvardpolitics.com,0,18,2,1,1,0,0,0,0,1,0,0,2,3
newsuptoday.com,0,15,2,1,1,0,0,0,0,1,0,0,0,0
nrdc.org,1,12,3,2,0,0,0,0,0,1,0,0,2,4
sciencetrends.com,1,16,2,1,1,0,0,0,0,1,0,0,2,3
viralcords.com,1,14,2,1,1,0,0,0,0,1,0,0,0,3
africanews.com,0,18,3,2,1,0,0,0,0,1,0,0,2,3
climatecentral.org,0,22,3,2,1,0,0,0,0,1,0,0,2,3
siouxcityjournal.com,0,19,2,1,1,0,0,0,0,1,0,0,2,3
startribune.com,0,19,3,2,1,0,0,0,0,1,0,0,2,4
commentarymagazine.com,1,26,3,2,1,0,0,0,0,1,0,0,2,1
