source_url_processed,has_about_usf0,fact,bias
villagevoice.com,0,3,2
insideclimatenews.org,0,3,3
fury.news,1,1,7
now8news.com,0,1,4
constitution.com,1,1,7
freebeacon.com,1,2,6
brexitcentral.com,0,2,6
foreignpolicynews.org,0,2,2
patriotpost.us,1,2,6
loser.com,0,1,1
empiresports.co,0,1,4
emirates247.com,0,3,3
samuel-warde.com,0,2,2
trueactivist.com,0,1,1
popularresistance.org,1,2,2
thebeaverton.com,0,1,4
nationalreport.net,0,1,4
politicalmayhem.news,0,1,7
itv.com-news,0,3,5
breitbart.com,0,2,6
forwardprogressives.com,0,3,2
triggerreset.net,0,1,7
theatlantic.com,0,3,3
dcclothesline.com,0,1,7
liberaldarkness.com,1,1,4
leftoverrights.com,0,2,2
inthesetimes.com,1,3,2
tampabay.com,0,3,3
france24-tv.com,0,1,7
freewestmedia.com,0,2,6
theguardiansofdemocracy.com,0,3,2
darientimes.com,1,3,3
conservativeoutfitters.com-blogs-news,0,2,6
republicworld.com,1,2,3
timesheadline.com,1,2,3
amazingnews.net,0,1,7
thestar.com,1,3,3
aceflashman.wordpress.com,0,1,4
hoax-slayer.com,0,3,4
home.nra.org,0,2,6
americanbridgepac.org,0,2,2
orlandosentinel.com,1,3,5
voanews.com,0,3,4
newsandstoriesfromusa.com,-1,1,7
offendedamerica.com,1,2,6
calgarysun.com,0,3,5
southafricatoday.net,0,1,6
blackpigeonspeaks.com,-1,1,7
churchmilitant.com,0,2,6
liberalamerica.org,0,2,2
newscientist.com,1,3,4
theskimm.com,1,3,4
iowastartingline.com,1,3,2
deepleftfield.info,0,2,2
burrardstreetjournal.com,1,1,4
who.int-en,1,3,4
propublica.org,0,3,3
yellowhammernews.com,-1,3,6
news.groopspeak.com,0,2,2
fairvote.org,1,3,3
intellectualtakeout.org,1,2,6
conservativefighters.com,0,1,7
oilprice.com,1,3,5
the-american-interest.com,1,3,5
gawken.com,0,1,4
bigleaguepolitics.com,0,2,6
azcentral.com,0,3,5
leftsideofhistory.com,-1,2,2
reagancoalition.com,0,1,7
monthlyreview.org,0,3,3
newswars.com,0,1,7
progressive.org,1,3,2
oathkeepers.org,0,1,7
anthropocenemagazine.org,1,3,4
atlbanana.com,1,1,4
salon.com,0,3,2
bluestemprairie.com,0,3,3
brokenworldnews.com,-1,1,4
atimes.com,1,3,4
patriotfires.com,0,1,7
allgov.com,1,3,4
thegoldwater.com,0,1,7
lynx.media,-1,2,5
resistancereport.com,-1,1,1
democraticreview.com,0,1,1
medicaldaily.com,0,3,4
americannewsx.com,0,2,2
ibtimes.com,0,2,3
japantimes.co.jp,1,3,4
chicksontheright.com,0,2,6
foreignpolicyjournal.com,0,3,2
quantamagazine.org,1,3,4
buzzfeed.com,1,2,3
harvardpolitics.com,0,3,4
newsuptoday.com,0,1,7
sciencetrends.com,0,3,4
viralcords.com,0,1,4
climatecentral.org,0,3,4
siouxcityjournal.com,0,3,4
commentarymagazine.com,0,3,6
themaven.net-beingliberal,0,2,2
cpj.org,0,3,4
adelaidenow.com.au,1,2,6
epi.org,1,3,3
atlanticmedia.com,0,3,3
bangkokpost.com,0,3,4
bigamericannews.com,0,1,4
psypost.org,0,3,4
beliefnet.com,1,2,6
placesjournal.org,0,3,4
politicalgarbagechute.com,0,1,4
rewire.news,0,3,2
defconwarningsystem.com,0,3,4
pnas.org,0,3,4
truthexaminer.com,-1,1,1
aljazeera.com,1,3,3
milo.yiannopoulos.net,0,1,7
magicvalley.com,1,3,4
skeptic.com,0,3,4
marketwatch.com,0,3,4
